***  check_and_remount script***

[***] Script started at Thu Jan  9 14:52:30 UTC 2025
[INFO] Thu Jan  9 14:52:30 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:31 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:32 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:33 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:34 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:35 UTC 2025 - /xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:36 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:37 UTC 2025 - /xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:38 UTC 2025 - /xxx/xxxxxx is already mounted.
[WARN] Thu Jan  9 14:52:39 UTC 2025 - /xxx/xxxxxx/xxxx is not mounted. Attempting to remount...
[ERROR] Thu Jan  9 14:52:49 UTC 2025 - Failed to remount /xxx/xxxxxx/xxxx.
[INFO] Thu Jan  9 14:52:50 UTC 2025 - /xxx/xxxxxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:51 UTC 2025 - /xxx/xxxxxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:52 UTC 2025 - /xxx/xxxxxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:53 UTC 2025 - /xxx/xxxxxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:54 UTC 2025 - /xxx/xxxxxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:55 UTC 2025 - /xxx/xxxxxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:56 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:57 UTC 2025 - /xxx/xxxxxx/xxx/xxxxxx is already mounted.
[INFO] Thu Jan  9 14:52:58 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:52:59 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:00 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:01 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:02 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:03 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[WARN] Thu Jan  9 14:53:04 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is not mounted. Attempting to remount...
[ERROR] Thu Jan  9 14:53:14 UTC 2025 - Failed to remount /xxx/xxxxxx/xxx/xxxx.
[INFO] Thu Jan  9 14:53:15 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:16 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:17 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:18 UTC 2025 - /xxx/xxxxxx/xxx/xxxx is already mounted.
[INFO] Thu Jan  9 14:53:19 UTC 2025 - /xxx/xxxxxx/xxx/xxxxxx/ is already mounted.
